Name,Mid1,Mid2,EndSem,Attendance,FinancialCondition,MaritalStatus,FatherQualification,MotherQualification,MotherJobRole,FatherJobRole,Stream,CourseName,Dropout_Risk,RiskLevel
Amit Singh,34,23,55,61,Low,Single,No formal education,Postgraduate,Laborer,Farmer,CSE,B.Tech,0.8,High
Manish Reddy,31,47,49,94,High,Single,Postgraduate,Primary,Clerk,Laborer,Civil,MBA,0.25,Low
Diya Yadav,55,20,40,84,Medium,Married,Primary,Primary,Farmer,Business,CSE,BA,0.55,Medium
Sai Malhotra,32,65,64,63,Low,Married,Postgraduate,No formal education,Farmer,Laborer,Electrical,B.Com,0.6000000000000001,Medium
Aarav Verma,100,99,66,54,High,Single,No formal education,Primary,Farmer,Engineer,IT,B.Sc,0.25,Low
Rohan Chopra,32,68,55,88,High,Married,Primary,Secondary,Clerk,Business,Biotech,B.Com,0.25,Low
Sai Iyer,29,97,41,98,High,Single,Primary,Graduate,Engineer,Laborer,Biotech,M.Tech,0.25,Low
Karan Reddy,91,48,61,37,Low,Single,Secondary,Graduate,Farmer,Engineer,ECE,MBA,0.65,Medium
Pooja Kapoor,60,47,83,80,High,Married,Primary,Secondary,Clerk,Teacher,Biotech,MBA,0.1,Low
Sakshi Menon,88,53,94,84,High,Married,Secondary,Primary,Manager,Teacher,CSE,B.Tech,0.1,Low
Aadhya Nair,34,39,100,50,High,Married,Postgraduate,No formal education,Laborer,Laborer,Electrical,BA,0.4,Low
Aadhya Kapoor,87,52,90,31,High,Single,Postgraduate,Secondary,Farmer,Business,Mechanical,BA,0.45,Medium
Aadhya Kumar,40,78,20,63,High,Single,Postgraduate,No formal education,Clerk,Engineer,ECE,B.Com,0.4,Low
Ananya Rao,40,89,87,30,High,Married,Graduate,No formal education,Business,Farmer,IT,B.Com,0.45,Medium
Aditya Gupta,50,27,50,40,Low,Married,No formal education,Postgraduate,Teacher,Teacher,Biotech,BA,0.8,High
Kritika Bose,90,41,53,97,High,Married,Primary,Postgraduate,Engineer,Clerk,Civil,M.Tech,0.1,Low
Swati Menon,67,76,86,87,Low,Single,Primary,No formal education,Unemployed,Business,Electrical,MBA,0.3,Low
Rakesh Das,49,95,48,30,Low,Single,Primary,No formal education,Business,Unemployed,CSE,MBA,0.65,Medium
Kritika Das,50,55,82,57,High,Single,Postgraduate,Postgraduate,Clerk,Manager,IT,BA,0.25,Low
Riya Iyer,72,44,32,42,High,Married,Secondary,Graduate,Manager,Laborer,IT,M.Tech,0.6000000000000001,Medium
Riya Singh,26,32,27,81,High,Married,No formal education,Primary,Clerk,Clerk,Electrical,BA,0.45,Medium
Aadhya Patel,37,74,43,65,Medium,Single,No formal education,Graduate,Unemployed,Farmer,Biotech,MBA,0.35,Low
Sai Menon,21,31,50,51,Medium,Married,Graduate,Primary,Unemployed,Laborer,ECE,BA,0.7000000000000001,High
Ananya Patel,20,69,53,88,Medium,Married,Postgraduate,Graduate,Clerk,Teacher,Mechanical,B.Sc,0.35,Low
Vihaan Menon,27,94,89,37,High,Married,No formal education,No formal education,Teacher,Manager,CSE,MBA,0.45,Medium
Siddharth Patel,30,43,28,38,High,Single,Graduate,No formal education,Unemployed,Clerk,Electrical,B.Tech,0.8,High
Kiara Malhotra,73,94,92,96,Medium,Married,Primary,Secondary,Engineer,Clerk,Civil,B.Sc,0.2,Low
Anika Nair,58,78,60,39,Low,Married,Postgraduate,Postgraduate,Farmer,Farmer,Electrical,B.Sc,0.65,Medium
Aadhya Malhotra,84,53,36,74,Low,Single,Secondary,Secondary,Manager,Teacher,IT,MBA,0.45,Medium
Akash Iyer,58,98,87,31,High,Married,No formal education,Primary,Farmer,Engineer,CSE,M.Tech,0.45,Medium
Prisha Kumar,90,39,54,66,High,Single,Secondary,Primary,Manager,Engineer,Mechanical,B.Tech,0.1,Low
Sai Sharma,31,74,55,35,Low,Married,Primary,Secondary,Manager,Teacher,Electrical,M.Tech,0.8,High
Karan Iyer,74,91,21,44,Low,Single,Postgraduate,No formal education,Teacher,Business,Civil,B.Sc,0.65,Medium
Suresh Rao,25,59,66,35,Medium,Single,Primary,No formal education,Laborer,Business,Electrical,M.Tech,0.7000000000000001,High
Arjun Verma,39,50,40,52,Medium,Single,Primary,Secondary,Clerk,Laborer,Mechanical,B.Sc,0.5,Medium
Aadhya Verma,33,68,24,90,Low,Single,Graduate,Secondary,Clerk,Engineer,ECE,B.Tech,0.45,Medium
Rohan Nair,44,71,62,65,Low,Married,Secondary,Postgraduate,Business,Laborer,CSE,B.Tech,0.45,Medium
Karan Bose,53,42,94,63,Low,Single,Postgraduate,Graduate,Business,Business,Civil,MBA,0.45,Medium
Rakesh Verma,85,34,69,54,Medium,Single,Graduate,No formal education,Business,Clerk,Civil,B.Tech,0.35,Low
Shreya Agarwal,62,99,60,45,High,Married,Postgraduate,Secondary,Business,Laborer,Civil,M.Tech,0.45,Medium
Meera Kapoor,57,90,36,54,Medium,Married,Primary,Postgraduate,Laborer,Engineer,Electrical,B.Tech,0.35,Low
Shreya Menon,58,56,46,85,High,Married,Graduate,Graduate,Clerk,Manager,Electrical,BA,0.25,Low
Priya Nair,41,30,56,95,High,Married,No formal education,Primary,Clerk,Engineer,IT,B.Sc,0.25,Low
Swati Kumar,38,23,25,61,Medium,Single,Graduate,Graduate,Laborer,Clerk,Civil,BA,0.7000000000000001,High
Karan Mishra,51,38,20,43,Medium,Single,Primary,Postgraduate,Unemployed,Manager,Electrical,B.Sc,0.9,High
Kiara Kumar,35,78,37,89,High,Married,Graduate,Postgraduate,Manager,Laborer,ECE,M.Tech,0.25,Low
Anika Mehta,80,77,53,61,High,Married,Postgraduate,Graduate,Engineer,Clerk,Civil,B.Tech,0.25,Low
